,essay_id,essay_set,essay,Ideas,organization,style,Conventions,total_score,tokens
683,18901,7,"Being patient is a very important skill to have. You need this to live your life. With out patients your life would be very crazy. One time when I was patient and had to wait for it when it was time it felt good. One day about @NUM1 years ago. I went to @ORGANIZATION1. And if you have been there then you know how long the lines are. They can be up to about a hour and a half. I was waiting for my turn to go on the haunted hause. It looked like it would be a lot of fun. Then when I got there it looked like there were @NUM2 people in line at the time. My mom asked, “@CAPS1 do you want to go on a different ride and then come back and do the hannah I love?” I told her no and we got in the line. After about @NUM3 hour in line, there was only about @NUM4 people in front of my mom and and I. Then it was finally our turn when I got to sit down in the chair and be buckled in, it felt good to know that after waiting for a long time I did it , I was patient. I did peeping asking if it was our turn, I just stood there patient. That was the time I realized that I had been patient. I knew from then en that I really could do it, patients. Its an important skill to have and to help you live your life well without it being crazy",2,2,2,2,8,307
1252,18545,7,"My name is @PERSON1, I’m in the @NUM1 grade. But the problem we have today is patience. One thing you have to know is that if have no kind of patience, you want get any where in life. Every where you go you need some patience. You will not have any friends when you do not be patient. Patience will grow you in life. Let’s just say if you got a letter in the mail saying you have to be at the social security office by two days. So when you do go you have to get your ticket number and sit, it might be for hours, but you cant just leave because if you do, you want get what you. Here’s another example let’s just say if you had to go to the doctor because your sick, you have to wait, you should because what if the doctor make you go pick up the medicine, @CAPS1 are some results about patience.",0,2,2,2,6,191
550,19000,7,"There were many of times when I was patient. There was a time when I was patient for a whole month. I was getting a new basketball video game , but it didn’t come out until a mother mounth. So I had to be patient. I could not wait until the game came out. It seemed like it took forever. It was the day befor the game came out and I lost my money that I was going to use to get the game. So then I had to save up @NUM1 more dolllers to buy the game that nI wanted.  I had to get two @DATE1 jobs so that can help me make the money that I lost . so two weeks past by then I went to the game store so I can buy the game. When I walked In the store, the manager told me there are no more copy’s of any basketball games. So I had to be patient for a whole nother @NUM2 weeks, and I get very mad. So I wated @NUM2 weeks for the game and I finaly got the game. I was so mad I had to be  patient that long but I got what it was wroth. So that is my story about being patient.",2,2,2,2,8,253
1003,19092,7,My story of when I was patient was when me and my family were going to the monster jam. It was one of the most exciting things of my life. But the trip there was almost @NUM1! then it took half an hour to find a place to park. Then eleast @NUM2 minutes for my moms friends to show up. And finally an hour in line. Last but not leas @NUM3 minutes to find our seat! thank you for listening to  my report about patience and sitting through it!,2,2,1,2,7,106
1242,18350,7,Thompson volleyball playersaka @CAPS1 @CAPS2 lost our tournment. We went on @DATE1 at a @CAPS3 resturant. And you know @PERSON1. She had asked for some chopsticks and the @CAPS1 made us wait for @NUM1 minutes for chopsticks. So @CAPS4 a volley ball player asked and she gave everybody some but the adults! We had so much fun. I had asked for some napkins but we did not get none.I was really made at the waiter but I had fun and the other aris had fun!,1,1,1,1,4,124
463,19553,7,"One early @TIME1 in @LOCATION2, @LOCATION1 for a @ORGANIZATION1 skating competition I completed. I was waiting to hear if I made it to the @DATE1 part of the event. I had completed in. it was seven in the @TIME1 when we left the rink. We went get a bite to eat and went back to the rink when we were finished. My best friend @PERSON1 also was in the same event I competed in. I knew she would make it to the @DATE1, but I didn’t know if I would or not. After a endless wait they were about to call out the people who made it. I kept saying over and over again in my head my number I was given.  They called @PERSON1’s number. I was waiting for my number to still be called, but they never called it. I had not made it. I was disapointed, but I couldn’t do anything about it.",3,3,2,2,10,200
646,18583,7,"I was patient when my dad said he would get me some @CAPS1. They were @CAPS2 and @CAPS3 the shoes caust @MONEY1. I asked a few times. He didn`t answer, so I knew what to do. I decided the dishes, clean my room. I waited the shoes so bad; I cleaned stuff that was already clean. After a month of the cleaning, I still didn`t get the shoes. That’s how something went wrong. SCHOOL!!!!!!! I haven`t ben acting right in school. I got my stuff together. Then I got the @CAPS4.",2,2,2,3,9,128
559,19173,7,I’m going to tell you about a time when I showed patience. When my family and my mom boy friend when on vacation to @ORGANIZATION1. When we got there it was pack full of people. So we jumped in line for the first ride. We were so excited that the @PERSON2 said @NUM1 teen minet wait. At first the line was moving very fast. There all of the sudden it moving like a sloth. It was so hot and humid that was alful. We checked the time it was @NUM2 minet already. It felt like @NUM3 hours. I was running out of pashents. Then we got in the shade it was a cool and nice. Finiy we were the next rid we got out the and one nice. @PERSON1 and @CAPS1 where so happy. My mom boy friend timed the rid it was only @NUM4 seconds long. We waited @NUM5 hour for a @NUM4 second rid. That was one time that I should patience.,2,3,2,1,8,212
691,18957,7,"Sometime it can be hard to be patient, @CAPS1 me it needs to be something I want or want to do. It was a cool day in @LOCATION1 @CAPS2.C.I had just turned @NUM1 and was going to meet president @PERSON1 face to face! I won a contest that allowed me to do that. As we arrived at the white house a man took us inside. He led us to a little room then left. It was around @NUM2 then. He said we can't come out because we might distract somebody. So we waited played hangman and saws other @CAPS3. Then it was around noon and I was hungry. Around @NUM1:30pm @PERSON1 came in! He said ""would you like something to eat?""I said ""yes""….we went to this fancy restaurant I can't pronounce. He said sorry @CAPS1 having to wait, but I didn't care it care it was worth it.",2,2,2,2,8,204
500,18287,7,"On our way to @CAPS1 point ! I’m screaming in my head .It’s so crazy ! were just derost from on lake erie . I see it ! It was right there within walking distance .Oh my gosh the parking lot we pull up in all the way to the stamp station & we get our stamps & we walk up to the medal bars we stop & the security say “ no” .We found out it only opens at ten so we waited & waited & waited & more & more & more people came ,& soon it got really crowded & more people came & me & my cousins @PERSON1 and @CAPS2 all went to go play phase title and we had wait in line for that to .Finally @NUM1 time to get into the park we all crowded up to the fince & ram out selfs in there we went and got in line  for the rapter for @NUM2 min .Man what a line but hey it was so worth it .And yes patience helps “a lot “",2,2,2,3,9,211
664,18762,7,Being patient means that you are understanding and tolerant. A patient person experiences difficulties without complaining. One time when I was patient is when my parents did not know it was a half day at school. One day in elementary school we had a half day which parents didn’t know about. After school I waited in the parking lot for close to @NUM1 minutes waiting for my parents to pick me up. I was starting to think my parents weren’t coming until a teacher asked me what I was doing. After I explained my situation the teacher let me call my parents. My dad had a appogized and went to get me after I explained then I could finally go home.,2,2,2,2,8,135
523,18579,7,"I am never patient. Weather its waiting for dinner or waiting for a friend I am never patient. The only time I can be patient is when im waiting for school to start. I can wait hours, days, weeks, months, even years if im waiting for school to start. Then also the thing I can never be patient for is waiting for a friend to call because I always want to do something every second. I will run around the house for hours until a friend calls. ?? when they do call I rush right to the phone and answer it right away. I will even sit there and stare at the phone waiting for someone to call. Another thing I can be patient for is waiting for my mom to tell me to clean my room. I will always leave the house and try not to come back til bed time so I will never have to clean my room.",2,2,2,2,8,175
1007,19147,7,This one time my brother and I were coming back from @LOCATION1. Everything was fine until the car broke down on the free way. So we called our parents to come get us. Well when they got there they forgot the cabols. So just as they were getting to us they left. So @NUM1 hours went by hear they come. I said did you remember to get every thing. They shook their head yes hooked up the car and a way we went.,2,2,2,2,8,96
1099,19111,7,One day after school I was told I had a doctor’s apointment so I” say when and my mom said @NUM1 and I had a dance after school that started at @NUM2 so I say @CAPS1 I have a dacen a @NUM2 and she said bla bla bla bla bla bla bla bla! at lest that is what I herd @CAPS1 I mite of been rong. “@CAPS1 mom it’s my first dance” I said with anger @CAPS1 she asked me to get in the car so time whent and we wher in the waiting room for an hour I’ve all ready missed hafe the dance @CAPS1 I was queit them we finnaly were in the officec and and gone home to get ready for the dance and had a blast.,2,2,2,2,8,171
1035,17985,7,"Over the @DATE2, on the @DATE1 to be exact me and my family want to see fireworks at a local park. It was a time for me and my brother to visit all my friends, we were so excited ?? ?? me than an hour to get there. I was so patient because I knew if l wasn't my mom would not be in a happy mood. ""Are wether yet?"" my brother mouned. ""@CAPS1 my @CAPS2, @PERSON1 we just got in the car."" I said my brother has always been important, I of course didn't say a word on the way there and everything he said something the ride felt longer.",1,1,2,1,5,140
836,18642,7,"A time I had to be patient was when we went to @LOCATION2. It was a @NUM1 hour flight with a two hour layover in @LOCATION1. It was really hard for me to be patient because I really wanted to go to @LOCATION2. In the layover to pass time I listend to my ipod and used my macbook pro to get on face book. It really helped me be patient because it took my mind of @LOCATION2 and we were in @LOCATION2 in know time, and when we arrived my patient’s paid of because I got to swim on beaches and party I @LOCATION2 for @DATE1 break @DATE2 that is my story about a time I was patient.",2,2,2,2,8,148
467,17857,7,One day I was patient was when I tried out for volleyball. I had to be patient because the two coaches had to pick who was going to be on a team and if so which team. My friends and I waited patiently in the gum as the coaches told kids privately in the hallway. They had to do it privately because there are two teams the ‘A’ team and the ‘@CAPS1’ team. Finally there was about @NUM1 other girls still waiting I chose to go last because I thought I could handle the challenge of patience but I was wrong. The thrill of finding out was @CAPS2!  At last it was my turn I walked out into the hall and found out I was on the ‘@CAPS1’ team. Although it wasn’t the ‘A’ team I was still happy I didn’t get out. That was a day I had to be very patient.,2,2,2,3,9,184
578,19514,7,One day me and my friend @CAPS1 were going to @CAPS2 to alabama. It was the most boring thing @CAPS3! Imagine just driving in a car for @NUM1 hours just driving and stopping to use the bathroom. And to make the matters worse I had the smallest bladder there wich as I can imagine @CAPS4! But we did get to count waffle haoes because the farther south you go the more people like waffles. I’m not kidding there was at least one waffle ???. And a kind of ??? was we weren’t just going to alabama  we were going to the @CAPS5 of alabama. So when we finally ??? ??? still had to wait @NUM2 more hours. But when we finaly got there we had a blast! And I have to admit one good thing came from experience ??? rides don’t bother us??? ???.,2,2,2,2,8,187
346,18942,7,"One time when I had a lot of paitenits is when I sprined my one ice skating. I was doing spins and trichs everywhere, and one I did not land. I fell on my back, but the bone I hurt was my arm, my mom was surprised that I could even stand up because of how hard I fell. My arm was hurting so bad from it. So my mom rushed over to help me, and then we had to go home. The next morning it was hurting @NUM1 times more. I had to go to the doctors to get x-rays for it, and they took two weeks to devnlop. So I was in two weeks of pain. So it turns out that I didn’t break my arm, however I was in a lot of pain waiting for the resualts. It took a lot of paients for me to just wait, and, wait, and wait for those x-rays,",2,3,2,3,10,193
779,18151,7,Patience to me is a personal thought that turns into action. I’ve been patience many times before. I use to go to the store at the corner of my block. I had to stand in a long line that actually went to the halfway point of my block. I went in got my stuff and went to the end of the line. A half hour past and it was five minutes til’ closing time. I get to the window and pay for my things @NUM1 minute before closing time. I was actually standing in line doing nothing. The owner of the store let me get a total of @NUM2 things for free. I got half of the stuff I wanted and the other half was house hold things. So being patient really pays off and can unlock many different treasures. So start running with patience and leaving impatience behind.,2,1,2,2,7,170
553,19073,7,"Last @CAPS3 my mom ordered @CAPS1 @CAPS2 and I was patient for an entire @CAPS3. One @CAPS3, few months and four months and five months to be exsact. Why? Well, the game came out this @CAPS3, on @DATE1 and I had to wait for. How did I pass the time? Simple, don’t think about the game, try not to talk about the game and only write when it comes out on daily calenders. Even though I beat the game exactly thirty two times on every difficulty without any help. (heh,heh!) I still have to wait for another month or so for callop duty:@CAPS4. So this, ah, stinks because now I can’t stop thinking about it.",2,2,2,3,9,168
484,18100,7,"Are you good with being patient? Sometimes I am but sometimes @CAPS1 not @CAPS2 going to tell you a story when I was patient when @CAPS1 normally not patient in situations like this. I had want to school with my mom so she can take a test @CAPS4 drop me at the mall to meet my friends up there. While I was waiting I was texting and on the internet, @CAPS4 my stomach started to rumble, I was hungry. I wanted to text my mom and make her rush so I can get something to eat as I was texting I stopped and thought about what was I about to do. I knew @CAPS5 hard long she had studied for that test. I didn`t want her to get a bad grade so I just sat there. I texted people. People called me so my mind was off food. After my mom finished her test she came out the room. I asked her “@CAPS5 did it go?” she looked at me smiled and said “I felt confident, but know @CAPS1 hungry I shouted out “me to” we got in the car and went to subway. I had got the forest now meal. With cooking, chips, and a drink it was delicious. My mom had dropped me off at the mall I told my friends what happened. We laughed for some reason. @CAPS4 we went @ORGANIZATION1, charlete, @CAPS7, @PERSON1 and others places as well. After I thought about it I never want to do that again. I was starting and my but started to hurt. I sat there for @NUM1 hours with nothing to do never again will I do that. At least I had bounding rime with my mom. That’s one bright side.",2,2,2,2,8,370
328,18707,7,"As I sit in the waiting room at @ORGANIZATION1’s @CAPS1 @CAPS2 waiting and waiting for my grandpa to come to thee recovery room. I think to myself what if something went wrong or what if he doesn’t make it through the surgery. Then I say to my @CAPS3 “can we see grandpa now”, she said “@CAPS4 just be patient everything will be just fine if you sit relax and for hevan sakes,” “be patient!” “@CAPS5” I say to my @CAPS3. After an hour passed, I had gotten on say so I thought in my self and said to myself cahlem and patient, calm and patient. Then this lady come out to the waiting room and said “the surgery was a little longer than we expected but everything went perfectly fine but he will be staying in the hospital for a week an a half at the most “which was perfectly fine with me as long as I was get out of this boring hospital and as soon as I said I had my mom said as soon as grandpa gets to the recovery room we will go see him then we will leave!",2,2,2,2,8,241
441,19187,7,"At time I wsa very patient when I had to do a project on birds, which included a life size scale model. On the model I had to glue parts on everyday. But the glue took @NUM1 hours to dry. So I had to redo it three times, which made it a @NUM2 day project instead of a seven. I worked harder then @ORGANIZATION1, but I kept braking my wonderful creation. The wings would break, and I patiently had to glue them back on. I finally completed it, though it took way longer than I wanted to. I used paintence, carefulness, and steady hand to finally succeed!",2,2,2,2,8,133
678,18877,7,"When I went to the @CAPS1 conly @ORGANIZATION2 for youth group at my church I took some o my friend. In the maze we had to go as a group of @CAPS2 & me, my dad, @PERSON1, & @CAPS3 went in one group @ORGANIZATION1, @CAPS4 in the group be hind us. Half way thru the @CAPS5 @ORGANIZATION2 there was a guy casing us with a chain saw & then @PERSON1 smacked my glass of my face so we had to stop that @ORGANIZATION2 of the @ORGANIZATION2 so we could find them & just before we found them my friends in the @CAPS6 group came & had to wait @NUM1 minutes wich seemed long. So they didn’t get chance to get chaced by the guy with the chainsaw.",1,2,2,2,7,184
1356,19511,7,"A time when I was patient, I have been patient plenty of times but one I mostly remember is when I was waiting for a friend to get home from school (I missed schoo) while waiting I did plenty of things. I played my xbox @NUM1 and I got on the computer. But while xbox I saw one of my friends come online. He lives in @CAPS1. Moures @CAPS2. After he got online we played most of day then I got off and watched @CAPS3 because I was bored. Nothing was on so I got on the computer, still bored. So I tried to take a nap, didn’t work. After that I tried to play my xbox but after another hour (nowaround @TIME1) it got bored. I still played for about another half an hour till I just redid my account while listening to music and played some more till he got online. We played all day till night",1,1,2,2,6,194
0,17858,7,"A time that I was patient was last year at cheer competition. In the beginning of the day I was patient getting in line to get ready to perform. Once we were ready we were waiting to go to perform. After, we perfomed we went to watch the rest of the teams. The other teams were really good. Then are team went and had lunch while some of the teams were still performing. We had to wait til all the teams were done. Once the teams were done they called all the squads to the mat it was award time. All the teams sat down on the mat. My team members were waiting patiently to see if we worn in cheer or in dance. We waited… and waited… and waited till finally he called are name. The junior varsity cheer leader! We took first in dance and fourth in cheer. That day was a good day for me and I was very patient and being patient can turn out right or not the way you wanted it to be. You never now till it happens. That is a time when I was patient at cheer competition.",3,3,3,3,12,217
717,19193,7,"I was @CAPS1 excited to get my first ipad. But, there was a very long line. @CAPS1, my mom kept on telling he to be patient. @CAPS1, I just stand there quietly. Then when we got closer I could not wait. Finally, we got to the beging of the line. When, I got up there my dad said “what kind do you want?” @CAPS1 I told him that I want the big one. Therefore, we got and put a lot of cool songs on there. After that, we went home and I listened to it all day all. Then my said “stop listing to that music” @CAPS1, I put it down for about @NUM1 hurs. Then, it was time to eat my dinner. After, we went for a car ride in my daddy’s new car. Finally, we went back home. I put away all the stuff I had bought from the store. Then I watched tv and ate some popcorn. Then it was time for me to go to bed. That is the time I was being patient.",2,2,2,2,8,230
1396,18952,7,I had to have patient's in the @CAPS1 of @CAPS2 we had to have patient in the @CAPS3. The @CAPS3 was @CAPS4 here slow we got ther a @TIME1 the we @CAPS5 it at @NUM1 we where in the @CAPS3. For hours and at a @CAPS7 pant's at the @CAPS3 I was @CAPS9 going to go @CAPS10 to the car and fall a sleep. But I used patient's to go trow that @CAPS3 and got the @CAPS11 scering of a @CAPS12 I had patients sowe I can Do something @CAPS13.,1,1,1,1,4,149
109,18419,7,"A beaker bubbled in @LOCATION1 lab. I could smell the sulfur smell wafting from the beaker. “@CAPS1 what’s going on!” I yelped across the room “@CAPS2 found the cure for the cancer!” @CAPS3 said as @CAPS3 had a little jublee dance that @CAPS3 showed off. I am a doctor and I wasn’t so sure but I told him I had a patient with extreme brain cancer. “@CAPS4’s go try it out!” @CAPS3 screamed. As I zoomed to the car and waited while @CAPS3 packed up his lab equiptment. After @NUM1 minutes I was pondering where @CAPS3 could be. @CAPS3’s just having a hard time packing up I said. So I turned on the radio and fell asleep. After a couple hours I woke up in shock. I had been sleeping @NUM2 ½ hours! I rushed inside to find him holding a ball of fur wrapped in his lab coat. “I saved this kitten’s life with my cure for cancer.” @CAPS3 said out of breath. I was glad I was patient or the kitten would have not lived. Just as I was thinking about how nice it was that @CAPS3 saved the kitten, my pager dinged. @PERSON1, the lady with extreme brain cancer needed our help. @CAPS3 got one vial of his cancer solution and we rushed to the hospital. There I saw @PERSON1 laying there as translucent as light hitting off paper. I quickly got her heart rate down. At this moment I wasn’t sure if she would live. “@CAPS6 give it to her?” the mad scientist asked. I made a risky choice. “@CAPS7, not yet.” I waited five minutes and then poured it in. @PERSON1 came back to life. Even though @PERSON1 couldn’t talk, I could tell by her smile that she was very thankful I was patient. Her daughter walked into the room and said, “@CAPS8 you”. I only smiled back.",3,3,3,3,12,442
414,18798,7,"The @CAPS1 @CAPS2 a few days after @CAPS18 began to run, @CAPS3, a small, anxious, chestnut room @CAPS1 saw her @CAPS5 plowing a large oval and covering it with @CAPS4 looked like dust. ""@CAPS4's @CAPS5 doing, @CAPS6? "" @CAPS7 a very curious @CAPS3. ""@CAPS9's plowing."" @CAPS10 @CAPS11, the young horses' @CAPS17. ""@CAPS12's going to be in a race called the @ORGANIZATION1  next year and that's how @CAPS18 will practice."" I want to race! ""hollered @CAPS3 excitedly ""Patience my darling, you're not even a filly! ""@CAPS10 @CAPS11, conclusively. And so @CAPS3 waited patiently for weeks. When @CAPS18 could @CAPS18 ran the track at night. @CAPS18 counted her times and @CAPS18 got faster and stronger. Two years later @CAPS3 was the champion reached for @NUM1 years in a raw. ""@CAPS17 was right! ""@CAPS18 claimed ""Patience is the key!",2,3,2,3,10,272
861,18888,7,A time I was patient was when my mom was take me to my friends house to play foot ball. It is a long story but I will tell you anyways. It all started when my friend @PERSON1 called me over to come play football. So I asked my mom for a ride she said “yes”. So when we were driving my ???? she had to get after things from the grocery store. She took in hule hour in there. The she had to go some were else she took @NUM1 hours in there.then my called and said “are you coming or what’. Then I said yes. I was so kept my cool and waited. Then I finally got there. It not much of a story. That was the time I was patient.,2,2,2,2,8,154
151,17963,7,"Once upon a time there was a preeteen name lola @CAPS1 lived in a land called wounder land and lola was a single queen @CAPS1 had lots of money and food and @CAPS1 had a big house but there was one thing that lola was missing @CAPS3 was a preteen prince there were lots of boys thowing themselves at her but not one of the cute strong preteen boys was the one for her. So one day @CAPS1 wanted to go to the village and see all her people and they were very happy to see her they yelling her name llola lolal and telling her that is was the best queen they ever had. Then after they stop yelling her name @CAPS1 saw a cute and strong preteen prince and has name was @PERSON2 and @CAPS1 fell in love and went over there and said hello and he said @CAPS4. Then @CAPS1 said do you want to come to my place and have diner and he said yes. Were do you live and @CAPS1 said in the big place he said ok see you at six. He did not know @CAPS1 was a queen so he went to the place and they at carb legs then after diner they played veido games afer that they started to like each other. Then a month later the were boyfriend and girlfriend everything was going good. @CAPS1 wanted him to ask her to marrie her but @CAPS1 had to wait patiently and @CAPS1 did @CAPS1 waited a year and he still did not ask her to marrie him. @CAPS1 new that if @CAPS1 ask him @CAPS3 would not work out so @CAPS1 wait and @CAPS1 waited some more and he tell didn’t ask her so the next day @CAPS1 went out with her friends @PERSON1, @LOCATION1, feanne and @CAPS5 and they went to the @CAPS6 and they sat in the mud bath and they were talking about how @LOCATION2 and @PERSON2 were doing and @LOCATION2 said they were doing good. @CAPS3 is just won’t ask me to marrie him I don’t think he wants to ask me but we liveing together. The next day @CAPS1 @CAPS1 came home and all her friend and family were in her house and in front of everyone he ask her to marrie him and @CAPS1 said yes and everyone was happy for her and he said I was going to ask you I just wanted @CAPS3 be one you will never forget and @CAPS1 ask her friends if they knew and they said yes everyone knew we just couldn’t tell you. A year they had a big wedding @CAPS3 was so perty and @CAPS3 was the wedding of the village and everyone was there and they partyed all night. The @CAPS7.",3,3,3,2,11,614
1012,19249,7,"You will say that you are board very fast. Most people are cause when you get out in the woods theres nothing you can do except watch and waist if you make one noise you will see nothing your whole hunt. Hunting is all about patients but it is a great reward when that doe, buck or whatever you’re hunting is rite in your sight. There are sometimes that I have been impatient and there’s times that I have been patient when I was younger I was very important I would got up and walk around but when I got older I got more patient like when. I got my first deer it was an eight point. Hunting @MONTH1 take patients but I like it and its fun.",0,2,2,2,6,140
410,18628,7,"I am going to be writing a time when I was patient. Me and my family went to ceder point. and it was this ride called the @CAPS1 the best, and highest roller coaster at ceder point. So we got in line it was so long we had to wait @NUM1 to get on the ride, because the line was so long. So I had my uncle who wasent getting on the ride to go get me some pop, elephant ears, and some chips because I was so hungry and thirsty. So while I was being patient, my other family was not being very patient. I was the only one patient. So @NUM2 past we still in line my family started fussing. @NUM3 hrs past they were getting madder. Then @NUM4 hrs came we were starting to be able to see the roller coaster and people getting on and off. So finally, we got on the ride, we enjoyed it. Then I had to explain how patient I was.  And how unpatient they was not.",2,2,2,2,8,213
